D,m,N,theta,Re_Omega,Re_Ref_Ylm,L_eff,l_pure
0.25,0,0,1.09956,0.309741,0.282095,-0.0428903,0
0.25,0,0,1.13097,0.30766,0.282095,-0.0428903,0
0.25,0,0,1.16239,0.305557,0.282095,-0.0428903,0
0.25,0,0,1.19381,0.303435,0.282095,-0.0428903,0
0.25,0,0,1.22522,0.301297,0.282095,-0.0428903,0
0.25,0,0,1.25664,0.299145,0.282095,-0.0428903,0
0.25,0,0,1.28805,0.296981,0.282095,-0.0428903,0
0.25,0,0,1.31947,0.294808,0.282095,-0.0428903,0
0.25,0,0,1.35088,0.292629,0.282095,-0.0428903,0
0.25,0,0,1.3823,0.290445,0.282095,-0.0428903,0
0.25,0,0,1.41372,0.28826,0.282095,-0.0428903,0
0.25,0,0,1.44513,0.286075,0.282095,-0.0428903,0
0.25,0,0,1.47655,0.283892,0.282095,-0.0428903,0
0.25,0,0,1.50796,0.281714,0.282095,-0.0428903,0
0.25,0,0,1.53938,0.279543,0.282095,-0.0428903,0
0.25,0,0,1.5708,0.277381,0.282095,-0.0428903,0
0.25,0,0,1.60221,0.27523,0.282095,-0.0428903,0
0.25,0,0,1.63363,0.273093,0.282095,-0.0428903,0
0.25,0,0,1.66504,0.270971,0.282095,-0.0428903,0
0.25,0,0,1.69646,0.268866,0.282095,-0.0428903,0
0.25,0,0,1.72788,0.266781,0.282095,-0.0428903,0
0.25,0,0,1.75929,0.264716,0.282095,-0.0428903,0
0.25,0,0,1.79071,0.262675,0.282095,-0.0428903,0
0.25,0,0,1.82212,0.260658,0.282095,-0.0428903,0
0.25,0,0,1.85354,0.258667,0.282095,-0.0428903,0
0.25,0,0,1.88496,0.256705,0.282095,-0.0428903,0
0.25,0,0,1.91637,0.254772,0.282095,-0.0428903,0
0.25,0,0,1.94779,0.252871,0.282095,-0.0428903,0
0.25,0,0,1.9792,0.251002,0.282095,-0.0428903,0
0.25,0,0,2.01062,0.249167,0.282095,-0.0428903,0
0.25,0,0,2.04204,0.247368,0.282095,-0.0428903,0
0.25,0,0,2.07345,0.245606,0.282095,-0.0428903,0
0.25,0,0,2.10487,0.243882,0.282095,-0.0428903,0
0.25,0,0,2.13628,0.242197,0.282095,-0.0428903,0
